Date,Average Price
04/01/2015,0.96
11/01/2015,1.02
18/01/2015,1.04
25/01/2015,1.05
01/02/2015,0.90
08/02/2015,0.96
15/02/2015,1.04
22/02/2015,1.03
01/03/2015,0.98
08/03/2015,1.04
15/03/2015,1.05
22/03/2015,1.02
29/03/2015,1.06
05/04/2015,1.07
12/04/2015,1.04
19/04/2015,1.04
26/04/2015,1.08
03/05/2015,0.97
10/05/2015,1.03
17/05/2015,1.07
24/05/2015,1.05
31/05/2015,1.04
07/06/2015,1.01
14/06/2015,0.99
21/06/2015,1.03
28/06/2015,1.07
05/07/2015,1.05
12/07/2015,1.08
19/07/2015,1.08
26/07/2015,1.08
02/08/2015,1.10
09/08/2015,1.05
16/08/2015,1.07
23/08/2015,1.09
30/08/2015,1.08
06/09/2015,1.03
13/09/2015,1.05
20/09/2015,1.03
27/09/2015,1.04
04/10/2015,1.04
11/10/2015,1.02
18/10/2015,1.00
25/10/2015,1.06
01/11/2015,0.98
08/11/2015,0.98
15/11/2015,0.93
22/11/2015,0.97
29/11/2015,1.00
06/12/2015,0.90
13/12/2015,0.94
20/12/2015,0.99
27/12/2015,0.96
03/01/2016,0.87
10/01/2016,0.94
17/01/2016,0.95
24/01/2016,0.96
31/01/2016,0.94
07/02/2016,0.77
14/02/2016,0.89
21/02/2016,0.95
28/02/2016,0.92
06/03/2016,0.96
13/03/2016,0.94
20/03/2016,0.94
27/03/2016,0.95
03/04/2016,0.95
10/04/2016,0.91
17/04/2016,0.91
24/04/2016,0.89
01/05/2016,0.85
08/05/2016,0.83
15/05/2016,0.91
22/05/2016,0.94
29/05/2016,0.95
05/06/2016,0.98
12/06/2016,1.05
19/06/2016,1.04
26/06/2016,1.05
03/07/2016,1.07
10/07/2016,1.11
17/07/2016,1.17
24/07/2016,1.22
31/07/2016,1.24
07/08/2016,1.16
14/08/2016,1.13
21/08/2016,1.11
28/08/2016,1.10
04/09/2016,1.06
11/09/2016,1.09
18/09/2016,1.16
25/09/2016,1.23
02/10/2016,1.25
09/10/2016,1.28
16/10/2016,1.31
23/10/2016,1.35
30/10/2016,1.45
06/11/2016,1.45
13/11/2016,1.37
20/11/2016,1.28
27/11/2016,1.22
04/12/2016,1.01
11/12/2016,0.99
18/12/2016,0.98
25/12/2016,1.01
01/01/2017,0.91
08/01/2017,1.00
15/01/2017,0.99
22/01/2017,0.95
29/01/2017,0.97
05/02/2017,0.78
12/02/2017,0.89
19/02/2017,1.01
26/02/2017,1.00
05/03/2017,1.13
12/03/2017,1.23
19/03/2017,1.26
26/03/2017,1.25
02/04/2017,1.22
09/04/2017,1.22
16/04/2017,1.25
23/04/2017,1.20
30/04/2017,1.20
07/05/2017,1.10
14/05/2017,1.20
21/05/2017,1.28
28/05/2017,1.29
04/06/2017,1.26
11/06/2017,1.23
18/06/2017,1.20
25/06/2017,1.18
02/07/2017,1.23
09/07/2017,1.18
16/07/2017,1.35
23/07/2017,1.33
30/07/2017,1.34
06/08/2017,1.35
13/08/2017,1.35
20/08/2017,1.44
27/08/2017,1.50
03/09/2017,1.60
10/09/2017,1.58
17/09/2017,1.59
24/09/2017,1.63
01/10/2017,1.66
08/10/2017,1.66
15/10/2017,1.59
22/10/2017,1.46
29/10/2017,1.31
05/11/2017,1.21
12/11/2017,1.17
19/11/2017,1.19
26/11/2017,1.26
03/12/2017,1.11
10/12/2017,1.05
17/12/2017,1.09
24/12/2017,1.20
31/12/2017,1.00
07/01/2018,1.15
14/01/2018,1.22
21/01/2018,1.10
28/01/2018,1.11
04/02/2018,0.89
11/02/2018,0.99
18/02/2018,1.11
25/02/2018,1.08
04/03/2018,1.09
11/03/2018,1.11
18/03/2018,1.07
25/03/2018,1.06
