Weight (mpg),Fuel use
1.0,3.0301443641273305
2.0,7.055155727342544
3.0,8.678983859964733
4.0,2.4981441595571123
5.0,9.732406835898383
6.0,9.871503511501553
7.0,8.29055649212933
8.0,7.401470362578289
9.0,6.898005839076232
10.0,3.7119689919946692
11.0,8.903792467373828
12.0,5.04231274583343
13.0,10.22705268177205
14.0,4.197986093362262
15.0,2.2238601601104784
16.0,2.6067360245962394
17.0,9.328384099038086
18.0,10.340115890137572
19.0,3.879124456346202
20.0,6.408188136228226
21.0,5.919690446713719
22.0,3.3761785223458953
23.0,9.818154087091475
24.0,8.833471235118742
25.0,3.2959618977498577
26.0,3.4365773615364636
27.0,5.1149994406214985
28.0,10.43526515552744
29.0,6.04873282129524
30.0,6.493493654923955
31.0,9.688457517662805
32.0,6.91264230082757
33.0,5.558063097512198
34.0,8.528513027339601
35.0,9.387999497194137
36.0,1.76343821331967
37.0,7.142618817843525
38.0,10.487620682303204
39.0,9.894808343527501
40.0,10.703269982944317
41.0,9.816309953078457
42.0,2.347020601435252
43.0,3.6157891935789794
44.0,9.55197550332959
45.0,4.216089522143907
46.0,1.8333720693965583
47.0,9.598570358754378
48.0,8.588625113858422
49.0,8.673962730720861
50.0,3.9571432759371943
51.0,6.010337974471983
52.0,8.15492076691328
53.0,5.291936114600391
54.0,2.8446376044865476
55.0,8.17257812839398
56.0,10.219617163536059
57.0,5.190289105930944
58.0,2.2600764508971567
59.0,4.06390104057451
60.0,4.192807866820395
61.0,1.9456106545856158
62.0,5.11557520254452
63.0,5.130955305560543
64.0,5.305166614147916
65.0,1.340901953420695
66.0,8.82181658018527
67.0,1.8311817643720187
68.0,8.634991902601795
69.0,6.202949332687792
70.0,5.820608074720589
71.0,8.470797605444828
72.0,6.635923450769807
73.0,1.9132664138189814
74.0,3.020201413872422
75.0,8.294841597234994
76.0,2.8287646331831127
77.0,1.1582682151667283
78.0,9.294264036117884
79.0,1.5655571964912507
80.0,7.360616145472649
81.0,9.92368283638752
82.0,4.447765893993365
83.0,2.1134547017311114
84.0,4.560321564625948
85.0,3.2806031348818387
86.0,10.138291313458266
87.0,2.471914369514083
88.0,1.3351389538202545
89.0,9.296029775604831
90.0,2.909563596427236
91.0,2.140008863156043
92.0,4.871629309863675
93.0,6.1564340938501685
94.0,6.848967978985691
95.0,5.40946869197568
96.0,6.69584605049754
97.0,1.5821600819044765
98.0,8.257930120800623
99.0,10.029278195556284
100.0,4.919019251849278
