Weight (mpg),Fuel use
1.0,7.09108699249574
2.0,8.14136013252293
3.0,5.500678675151628
4.0,6.227430011776727
5.0,1.1700528922219968
6.0,6.376167556271917
7.0,2.547211812911
8.0,5.343310422947991
9.0,4.699613809236942
10.0,9.534666051255297
11.0,6.19819698596735
12.0,9.55710707965463
13.0,4.248810761228533
14.0,2.380270430546081
15.0,2.871136002280493
16.0,9.010513194712308
17.0,1.8926883057948873
18.0,8.681601187190799
19.0,4.463876288909288
20.0,2.5970297064191357
21.0,2.012501096024598
22.0,11.272623057937281
23.0,6.628876280556589
24.0,3.149501826906273
25.0,6.079574740885088
26.0,3.0714881373597276
27.0,9.595842335700965
28.0,7.444973115005364
29.0,11.572886690437336
30.0,11.146478959632242
31.0,1.6538563997858478
32.0,7.046429332495013
33.0,10.040302346653132
34.0,3.827315692128995
35.0,3.508848985763747
36.0,8.263592614312161
37.0,2.9054517215939484
38.0,5.67027079998444
39.0,11.271146427618616
40.0,3.4940293981773536
41.0,7.254150089713725
42.0,9.344128761515766
43.0,9.595510913498735
44.0,11.412026346251285
45.0,7.182289789643974
46.0,3.2696477876036982
47.0,10.331612262272365
48.0,6.934851692263542
49.0,8.09898949467979
50.0,4.811462519373719
51.0,6.256528361939793
52.0,4.663686345935173
53.0,11.283495996914613
54.0,4.90681980484123
55.0,4.742304386124378
56.0,3.227343020091991
57.0,3.0070840630852116
58.0,6.928295821698142
59.0,11.607642515994556
60.0,4.310852061798686
61.0,4.784287243035401
62.0,9.02124038666657
63.0,8.171626947679478
64.0,8.369371398686265
65.0,8.302076384707782
66.0,10.530396035851341
67.0,8.519237928327783
68.0,6.915350577566673
69.0,5.4562235484684365
70.0,9.921456388283604
71.0,11.467191806007927
72.0,8.234848209928906
73.0,3.1902870346799252
74.0,4.579179971972957
75.0,7.190386628425937
76.0,8.137901512515148
77.0,8.655763886120951
78.0,10.46486600366131
79.0,10.324620890537172
80.0,4.954898896873907
81.0,3.4528974359492057
82.0,8.965346016869507
83.0,6.123427732527739
84.0,7.360261877903251
85.0,3.2318483567166556
86.0,5.207425494018878
87.0,3.662617387246506
88.0,3.0933616039442455
89.0,4.444174011781003
90.0,6.262114531007901
91.0,7.486148983432174
92.0,10.32360126726854
93.0,4.03331137994077
94.0,12.873246342216618
95.0,9.680126291823985
96.0,5.638868239445995
97.0,5.045249884676473
98.0,7.731803055775812
99.0,7.048753245937881
100.0,4.3925810083264665
