Date,Average Price
42008,0.957502421
42015,1.019967158
42022,1.044620194
42029,1.052523955
42036,0.902666732
42043,0.96230322
42050,1.040538967
42057,1.032222863
42064,0.980643127
42071,1.035286409
42078,1.054968308
42085,1.019733399
42092,1.05547642
42099,1.073954541
42106,1.036562642
42113,1.042803314
42120,1.08340701
42127,0.966200767
42134,1.026309805
42141,1.072516438
42148,1.0525833
42155,1.042885273
42162,1.01277147
42169,0.990521754
42176,1.029248167
42183,1.07093992
42190,1.050270641
42197,1.075307479
42204,1.076573865
42211,1.080479169
42218,1.097868007
42225,1.053328104
42232,1.065211354
42239,1.093750426
42246,1.080017615
42253,1.031022252
42260,1.045232198
42267,1.031668337
42274,1.04385594
42281,1.039363565
42288,1.016224257
42295,1.002218805
42302,1.056447916
42309,0.977596082
42316,0.983605434
42323,0.933228801
42330,0.973458509
42337,0.998803936
42344,0.898563193
42351,0.937887691
42358,0.990421208
42365,0.956505344
42372,0.870412418
42379,0.938033183
42386,0.952425788
42393,0.958135648
42400,0.940111839
42407,0.76898476
42414,0.888632141
42421,0.952213732
42428,0.921464996
42435,0.959577501
42442,0.939890269
42449,0.938846624
42456,0.950784402
42463,0.951914972
42470,0.908902522
42477,0.914758373
42484,0.888018781
42491,0.853884439
42498,0.829994584
42505,0.906256644
42512,0.944314529
42519,0.954432456
42526,0.980915264
42533,1.054863245
42540,1.036838124
42547,1.050087449
42554,1.072160293
42561,1.112916328
42568,1.16763216
42575,1.21625019
42582,1.241301847
42589,1.161297598
42596,1.130704074
42603,1.111416624
42610,1.098962305
42617,1.05832505
42624,1.092268112
42631,1.1647071
42638,1.232009551
42645,1.246036341
42652,1.282179298
42659,1.305494977
42666,1.351335413
42673,1.452603989
42680,1.453879421
42687,1.374110216
42694,1.280216556
42701,1.221520171
42708,1.012905155
42715,0.991220729
42722,0.975218502
42729,1.008578103
42736,0.906673628
42743,1.001635231
42750,0.993905187
42757,0.946236207
42764,0.968445965
42771,0.782289099
42778,0.885096502
42785,1.011414108
42792,1.004761941
42799,1.130753274
42806,1.232220296
42813,1.262868234
42820,1.245833035
42827,1.22299175
42834,1.219712756
42841,1.245631113
42848,1.196182495
42855,1.200641663
42862,1.10460913
42869,1.204042505
42876,1.278293805
42883,1.294104741
42890,1.256606792
42897,1.227264195
42904,1.19810902
42911,1.183442415
42918,1.226726971
42925,1.183646085
42932,1.347286834
42939,1.329124945
42946,1.339191657
42953,1.345667155
42960,1.346914213
42967,1.43632576
42974,1.49886956
42981,1.595184144
42988,1.581512873
42995,1.589990591
43002,1.632091336
43009,1.655395224
43016,1.659579347
43023,1.590773773
43030,1.45733892
43037,1.307452325
43044,1.211088201
43051,1.173617386
43058,1.192746655
43065,1.260395444
43072,1.106742158
43079,1.047828651
43086,1.092426103
43093,1.202661997
43100,0.999820062
43107,1.153575835
43114,1.223502777
43121,1.101310968
43128,1.111199554
43135,0.887491348
43142,0.993683341
43149,1.105706741
43156,1.082475025
43163,1.090295122
43170,1.110899999
43177,1.072436251
43184,1.055488099
